USERID;NAME;SURNAME;PHONE;ADDRESS
1000;August;Mayer;0980 222 1052;711-4353 Ac Rd.
1001;Simone;Jordan;07624 405339;P.O. Box 507, 5663 Est, Road
1002;Sebastian;William;(029) 7801 0284;P.O. Box 157, 5010 Eu Rd.
1003;Vance;Ryan;(01214) 910384;Ap #846-740 Dictum St.
1004;William;Holman;(0101) 479 5514;5292 Turpis St.
1005;Galena;Rush;076 4583 3292;Ap #790-4997 Proin St.
1006;Odysseus;Taylor;(028) 2979 1571;887-636 Porttitor Road
1007;Branden;Crosby;(01339) 59450;P.O. Box 332, 2795 Lacus. Rd.
1008;Bruno;Herring;0800 820 6369;6137 Ac Street
1009;Duncan;Ashley;07388 548640;445-1713 Commodo St.
1010;Tanner;Hodge;0800 218 2645;8699 Quisque St.
1011;Stuart;Webster;0800 884746;Ap #797-1434 Accumsan Rd.
1012;Destiny;Moran;07624 622763;3335 Curabitur Rd.
1013;Brianna;Romero;(016169) 92081;368-5690 Quisque Av.
1014;Hermione;Schneider;(0115) 347 8436;9965 Vel St.
1015;Allen;Dickson;0843 973 3706;Ap #420-6229 Auctor Avenue
1016;Julian;Bradford;07037 021442;465-1151 Fringilla Av.
1017;Noble;Rojas;(025) 6427 5302;950-4418 Eleifend, Road
1018;Fiona;Black;(019259) 83915;Ap #357-7955 Metus Av.
1019;Lael;Kidd;0800 091 3568;5187 Enim. Av.
1020;Mannix;Donaldson;(01719) 937109;P.O. Box 123, 1229 Ultricies Road
1021;Rajah;Roth;076 5704 0229;P.O. Box 105, 5878 Nec Ave
1022;Oren;Clements;0800 1111;3451 Est, Av.
1023;Cadman;Casey;0845 46 45;Ap #541-8397 Urna St.
1024;Ira;Lloyd;(020) 6496 0728;6328 Vitae St.
1025;Anthony;Fernandez;056 5214 2094;280-8598 Iaculis St.
1026;Dalton;Moore;0500 335043;695 Interdum Rd.
1027;Castor;Durham;0967 851 7637;Ap #216-6775 Dictum Rd.
1028;Rooney;Bender;0800 128 7038;Ap #217-1030 Orci, Rd.
1029;Brynne;Dean;056 9736 2327;Ap #815-5530 Risus. Ave
1030;Fitzgerald;Morrow;(025) 4955 2860;P.O. Box 380, 9628 Et Rd.
1031;Keith;Lloyd;(014919) 45224;5529 Non Road
1032;Alec;Small;07146 463395;Ap #101-2840 Ante St.
1033;Margaret;Guerra;076 4643 3085;1278 Sit Rd.
1034;Rajah;Williamson;055 0438 7478;384-8243 Nunc. St.
1035;Jane;Hyde;0917 896 2560;7142 Eget Street
1036;Oren;Newton;0830 533 0056;501-7246 Metus. St.
1037;Nehru;Lyons;(015346) 39239;3292 Dolor St.
1038;Alexander;Mcguire;070 8754 7034;Ap #815-4084 Libero Ave
1039;Coby;Meyer;07624 029737;222 Tellus Rd.
1040;Macaulay;Marks;(0101) 636 2788;P.O. Box 639, 5184 Nec, Rd.
1041;Erich;Lindsey;0800 1111;P.O. Box 349, 5928 Quisque Rd.
1042;Tallulah;Cherry;0500 568109;Ap #462-9438 Aliquam Road
1043;Marsden;Bernard;0353 674 4436;298-651 Tortor. St.
1044;Nayda;Rice;0384 356 0576;Ap #600-5211 Mus. Avenue
1045;Raven;Heath;0800 563832;P.O. Box 747, 401 Libero Rd.
1046;Iona;Stokes;(0110) 473 8380;965-5586 Aliquam Rd.
1047;Ori;Vaughn;0890 940 0762;P.O. Box 544, 2426 Sed, Rd.
1048;Elton;Weiss;07624 587177;Ap #642-4898 Erat Ave
1049;Laura;Giles;07624 571967;Ap #979-6161 Id Av.
1050;Bianca;Rush;(023) 1094 9180;3612 Mi. Ave
